indicator,period,source,location,value,value_type,Sub-dashboard
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yola North LGA,17.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yola North LGA,21,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yola North LGA,31.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yola North LGA,34.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yola North LGA,39.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Yewa-South LGA,8.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yewa-South LGA,59.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yewa-South LGA,61.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yewa-South LGA,29.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yewa-South LGA,31.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yewa-South LGA,23.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yewa-South LGA,34.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Yewa-North LGA,27.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yewa-North LGA,21.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yewa-North LGA,17.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yewa-North LGA,16.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yewa-North LGA,14.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yewa-North LGA,15,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yewa-North LGA,20.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Yenagoa LGA,0.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yenagoa LGA,15.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yenagoa LGA,15,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yenagoa LGA,8,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yenagoa LGA,6,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yenagoa LGA,12.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yenagoa LGA,18.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Yauri LGA,47.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yauri LGA,50.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yauri LGA,67.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yauri LGA,39.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yauri LGA,70.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yauri LGA,58.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yauri LGA,60.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yankwashi LGA,30.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yankwashi LGA,23.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yankwashi LGA,22.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yankwashi LGA,20.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yankwashi LGA,26.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yankwashi LGA,30,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Yamaltu/Deba LGA,20.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yamaltu/Deba LGA,56.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yamaltu/Deba LGA,40.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yamaltu/Deba LGA,35.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yamaltu/Deba LGA,49.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yamaltu/Deba LGA,43.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yamaltu/Deba LGA,41.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Yala LGA,10,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yala LGA,9.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yala LGA,8.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yala LGA,4.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yala LGA,7.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yala LGA,8.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yala LGA,7.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Yakuur LGA,10.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yakuur LGA,13.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yakuur LGA,9.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yakuur LGA,13.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yakuur LGA,10.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yakuur LGA,11.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yakuur LGA,11.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Yagba West LGA,6.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yagba West LGA,3.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yagba West LGA,2.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yagba West LGA,4.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yagba West LGA,7.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yagba West LGA,6.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yagba West LGA,6.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Yagba East LGA,8.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yagba East LGA,7.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yagba East LGA,9.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yagba East LGA,7.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yagba East LGA,4.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yagba East LGA,4.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yagba East LGA,6.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Yabo LGA,12.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Yabo LGA,15.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Yabo LGA,12.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Yabo LGA,13.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Yabo LGA,16.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Yabo LGA,27.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Wushishi LGA,12.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Wushishi LGA,38.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Wushishi LGA,81.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Wushishi LGA,48.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Wushishi LGA,38,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Wushishi LGA,37.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Wushishi LGA,25,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Wurno LGA,21,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Wurno LGA,17.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Wurno LGA,39.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Wurno LGA,50.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Wurno LGA,24.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Wurno LGA,22.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Wukari LGA,6.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Wukari LGA,6.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Wukari LGA,14,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Wukari LGA,8.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Wukari LGA,17.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Wukari LGA,15.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Wudil LGA,27.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Wudil LGA,22.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Wudil LGA,20.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Wudil LGA,24.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Wudil LGA,22.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Wudil LGA,26.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Wase LGA,3.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Wase LGA,0.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Wase LGA,3.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Wase LGA,1.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Wase LGA,0.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Wase LGA,7.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Wasagu/Danko LGA,8.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Wasagu/Danko LGA,14.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Wasagu/Danko LGA,39.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Wasagu/Danko LGA,11.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Wasagu/Danko LGA,26.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Wasagu/Danko LGA,28.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Warri South West LGA,4.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Warri South West LGA,2.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Warri South West LGA,1.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Warri South West LGA,8.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Warri South West LGA,9.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Warri South West LGA,12.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Warri South LGA,14.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Warri South LGA,15.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Warri South LGA,22.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Warri South LGA,16.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Warri South LGA,12.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Warri South LGA,36.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Warri North LGA,1.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Warri North LGA,1.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Warri North LGA,1.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Warri North LGA,4.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Warri North LGA,11.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Warri North LGA,9.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Warji LGA,23.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Warji LGA,21,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Warji LGA,54.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Warji LGA,57.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Warji LGA,53.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Warji LGA,53.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Warawa LGA,3.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Warawa LGA,13.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Warawa LGA,17,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Warawa LGA,27.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Warawa LGA,27.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Warawa LGA,22,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Warawa LGA,27.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Wamba LGA,10.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Wamba LGA,56.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Wamba LGA,33.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Wamba LGA,20.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Wamba LGA,37.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Wamba LGA,45.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Wamba LGA,29.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Wamako LGA,32.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Wamako LGA,12.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Wamako LGA,19.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Wamako LGA,31.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Wamako LGA,33.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Wamako LGA,43.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Vandeikya LGA,2.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Vandeikya LGA,3,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Vandeikya LGA,1.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Vandeikya LGA,5.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Vandeikya LGA,2.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Vandeikya LGA,3.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Vandeikya LGA,3.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Uzo Uwani LGA,5.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Uzo Uwani LGA,4.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Uzo Uwani LGA,4.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Uzo Uwani LGA,4.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Uzo Uwani LGA,2.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Uzo Uwani LGA,1.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Uyo LGA,1.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Uyo LGA,40.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Uyo LGA,27.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Uyo LGA,14,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Uyo LGA,6.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Uyo LGA,3.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Uyo LGA,3.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Uvwie LGA,43.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Uvwie LGA,1.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Uvwie LGA,3.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Uvwie LGA,5.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Uvwie LGA,18.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Uvwie LGA,15.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Ussa LGA,29.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Ussa LGA,4,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Ussa LGA,19.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Ussa LGA,19.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Ussa LGA,16.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Ussa LGA,22.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Ushongo LGA,1.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Ushongo LGA,1.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Ushongo LGA,1.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Ushongo LGA,1.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Ushongo LGA,0.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Ushongo LGA,1.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Ushongo LGA,4,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Urue-Offong/Oruko LGA,4.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Urue-Offong/Oruko LGA,16.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Urue-Offong/Oruko LGA,14.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Urue-Offong/Oruko LGA,14.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Urue-Offong/Oruko LGA,5.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Urue-Offong/Oruko LGA,1.5,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Urue-Offong/Oruko LGA,2.1,Routine,Health_Outcomes
ANC Coverage (4 visits),2013,NHMIS-DHIS2,Uruan LGA,2.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Uruan LGA,13.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Uruan LGA,3.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Uruan LGA,12.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Uruan LGA,7.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Uruan LGA,8.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Uruan LGA,6.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Unuimo LGA,2.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Unuimo LGA,0.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Unuimo LGA,2.8,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Unuimo LGA,5.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Unuimo LGA,4.2,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Unuimo LGA,4.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Ungogo LGA,30,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Ungogo LGA,16.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Ungogo LGA,18.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Ungogo LGA,18,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Ungogo LGA,21.4,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Ungogo LGA,20.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2014,NHMIS-DHIS2,Umuahia South LGA,5.9,Routine,Health_Outcomes
ANC Coverage (4 visits),2015,NHMIS-DHIS2,Umuahia South LGA,3.7,Routine,Health_Outcomes
ANC Coverage (4 visits),2016,NHMIS-DHIS2,Umuahia South LGA,4.6,Routine,Health_Outcomes
ANC Coverage (4 visits),2017,NHMIS-DHIS2,Umuahia South LGA,6.3,Routine,Health_Outcomes
ANC Coverage (4 visits),2018,NHMIS-DHIS2,Umuahia South LGA,4,Routine,Health_Outcomes
ANC Coverage (4 visits),2019,NHMIS-DHIS2,Umuahia South LGA,6.7,Routine,Health_Outcomes
